Class,Subject,Slot,Slot1,Slot2,Room,Room2,Note
AI1910,CSD201,A24,,,DE-436,,
AI1911,CSD202,A24,,,DE-437,,
AI1912,CSD203,A24,,,DE-438,,
AI1913,CSD204,A24,,,DE-439,,
AI1914,CSD205,A24,,,DE-440,,
AI1915,CSD206,A24,,,DE-441,,
AI1916,CSD207,A24,,,DE-442,,
AI1917,CSD208,A24,,,DE-443,,
AI1918,CSD209,A42,,,DE-444,,
AI1919,CSD210,A42,,,DE-445,,
AI1920,CSD211,A42,,,DE-446,,
AI1921,CSD212,A42,,,DE-447,,
AI1922,CSD213,A42,,,DE-448,,
AI1923,CSD214,A42,,,DE-449,,
AI1924,CSD215,A42,,,DE-450,,
AI1925,CSD216,A42,,,DE-451,,
AI1926,CSD217,A24,,,DE-452,,
AI1927,CSD218,A24,,,DE-453,,
AI1928,CSD219,A24,,,DE-454,,
AI1929,CSD220,A24,,,DE-455,,
